"user","time"
"39318","1498654775"
"39447","1498655014"
"39318","1498655055"
"39447","1498655644"
"38994","1498655718"
"39447","1498655746"
"38994","1498655771"
"38994","1498655790"
"39447","1498656001"
"39447","1498656140"
"39093","1498656408"
"39093","1498656429"
"38883","1498656464"
"39093","1498656479"
"39093","1498656520"
"39093","1498656632"
"39204","1498656657"
"39447","1498656705"
"39447","1498656825"
"38964","1498657006"
"38964","1498657257"
"39455","1498657306"
"39447","1498657410"
"39201","1498657449"
"39447","1498657654"
"39318","1498657770"
"39447","1498657964"
"39447","1498658133"
"39198","1498658472"
"39005","1498658623"
"39148","1498659844"
"39148","1498659887"
"38684","1498659907"
"39181","1498660049"
"39181","1498660540"
"39196","1498660819"
"1142","1498661246"
"39318","1498661308"
"38962","1498661356"
"1142","1498661538"
"39318","1498661638"
"39006","1498661768"
"38853","1498661877"
"39422","1498661912"
"39181","1498662470"
"38714","1498662634"
"39199","1498662871"
"39402","1498662897"
"38964","1498662937"
"38994","1498663193"
"39318","1498663253"
"39194","1498663340"
"39318","1498663458"
"39148","1498663518"
"39161","1498663594"
"39318","1498663698"
"39064","1498665166"
"39318","1498665234"
"39146","1498665783"
"39181","1498666128"
"39009","1498666393"
"39147","1498667079"
"39002","1498667939"
"38655","1498667973"
"38962","1498668058"
"39091","1498668821"
"39350","1498669139"
"39387","1498669200"
"39350","1498669218"
"39006","1498669252"
"39097","1498669958"
"39419","1498670189"
"39419","1498670272"
"39093","1498670472"
"38769","1498671269"
"38769","1498671287"
"39504","1498671637"
"39425","1498672063"
"39095","1498672703"
"39095","1498672781"
"39175","1498672786"
"39175","1498672805"
"39318","1498672821"
"39395","1498672896"
"39139","1498673763"
"38735","1498673766"
"39139","1498673861"
"39318","1498673917"
"38709","1498673930"
"38735","1498673961"
"38735","1498674008"
"39093","1498674078"
"38889","1498674325"
"39260","1498674429"
"39318","1498674505"
"39206","1498674795"
"39318","1498674827"
"39206","1498675164"
"39146","1498675376"
"38541","1498675706"
"39002","1498675747"
"39318","1498675782"
"39107","1498675880"
"39206","1498675896"
"39260","1498675905"
"39146","1498676024"
"39206","1498676045"
"39318","1498676066"
"39318","1498676083"
"39206","1498676106"
"39148","1498676493"
"39148","1498676823"
"39010","1498677139"
"39109","1498677185"
"39109","1498677191"
"39007","1498677201"
"39109","1498677202"
"39109","1498677223"
"39109","1498677236"
"39109","1498677249"
"39109","1498677337"
"39010","1498677371"
"39318","1498677422"
"39318","1498677452"
"39318","1498677473"
"39318","1498677493"
"39318","1498677519"
"39318","1498677591"
"39318","1498677642"
"39007","1498677659"
"39009","1498677707"
"38710","1498677766"
"39111","1498677767"
"39418","1498678220"
"38710","1498678249"
"38710","1498678298"
"39287","1498679001"
"39287","1498679015"
"39197","1498679073"
"39383","1498679669"
"39143","1498679851"
"38684","1498679920"
"39005","1498680207"
"38655","1498680472"
"39009","1498682828"
"39350","1498683454"
"38738","1498683945"
"39198","1498684670"
"39394","1498684670"
"39392","1498685547"
"38884","1498687192"
"39002","1498688743"
"39002","1498688780"
"39394","1498689393"
"39200","1498690812"
"39400","1498690891"
"39193","1498691665"
"39406","1498694018"
"39111","1498696351"
"38984","1498698673"
"38984","1498698952"
"38984","1498699028"
"38999","1498699389"
"38999","1498699469"
"39449","1498708712"
"39449","1498708760"
"39449","1498709107"
"38541","1498730450"
"38541","1498730452"
"38988","1498732565"
"38987","1498737718"
"39107","1498739467"
"39107","1498739864"
"39186","1498742423"
"38761","1498742476"
"39148","1498743179"
"38853","1498743831"
"38707","1498744398"
"534","1498745983"
